Reference, Value, Footprint,Part Number,Digikey Part No, Datasheet
ADC1,MAX11210,Housings_SSOP:QSOP-16_3.9x4.9mm_Pitch0.635mm,MAX11210EEE+,MAX11210EEE+-ND,https://datasheets.maximintegrated.com/en/ds/MAX11200-MAX11210.pdf
C1,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C10,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C11,100pF,Capacitors_SMD:C_0805,08051A101FAT2A,478-3732-1-ND,
C12,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C3,47uF,Capacitors_SMD:C_0805,CL21A476MQCLRNC,1276-2420-1-ND,
C4,200pF,Capacitors_SMD:C_0805,08055A201FAT2A,478-10508-1-ND,
C5,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C6,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C7,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C8,100pF,Capacitors_SMD:C_0805,08051A101FAT2A,478-3732-1-ND,
C9,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
J1,CONN_COAXIAL,WheelerLab:JACK_SMA,5-1814400-1,A97593-ND,
J5,CONN_02X05,Connectors:he10-10d,XG4A1031,OR880-ND,
MCP1,MCP1501-SOIC,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,MCP150130E/SN,MCP150130E/SN-ND,http://ww1.microchip.com/downloads/en/DeviceDoc/20005474D.pdf
PMT1,H12056-PMT,WheelerLab:H12056-PMT-1mm_Holes,H12056-110,-,https://www.hamamatsu.com/resources/pdf/etd/H12056_TPMO1053E.pdf
R3,30k,Resistors_SMD:R_0805,ERA-6ARW303V,P30KBSCT-ND,
R4,10k,Resistors_SMD:R_0805,ERA-6ARW103V,P10KBSCT-ND,
R5,100,Resistors_SMD:R_0805,RC0805FR-07100RL,311-100CRCT-ND,
R6,49.9,Resistors_SMD:R_0805,RC0805FR-0749R9L,311-49.9CRCT-ND,
R7,301,Resistors_SMD:R_0805,RC0805FR-07301RL,311-301CRCT-ND,
U2,LMP7721,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,LMP7721MA/NOPB,LMP7721MA/NOPB-ND,http://www.ti.com/lit/ds/symlink/lmp7721.pdf
U3,LMP7715MF,TO_SOT_Packages_SMD:SOT-23-5,LMP7715MF/NOPB,LMP7715MF/NOPBCT-ND,http://www.ti.com/lit/ds/symlink/lmp7716.pdf
U5,MCP41010,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,MCP41010I/SN,MCP41010I/SN-ND,http://ww1.microchip.com/downloads/en/DeviceDoc/11195c.pdf
