Reference, Value, Footprint,Part Number,Digikey Part No, Datasheet
DIGIPOT1,MCP41010,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,MCP41010I/SN,MCP41010I/SN-ND,http://ww1.microchip.com/downloads/en/DeviceDoc/11195c.pdf
VREF1,MCP1501-SOIC,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,MCP150130E/SN,MCP150130E/SN-ND,http://ww1.microchip.com/downloads/en/DeviceDoc/20005474D.pdf
ADC1,MAX11210,Housings_SSOP:QSOP-16_3.9x4.9mm_Pitch0.635mm,MAX11210EEE+,MAX11210EEE+-ND,https://datasheets.maximintegrated.com/en/ds/MAX11200-MAX11210.pdf
U2,LMP7721,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,LMP7721MA/NOPB,LMP7721MA/NOPB-ND,http://www.ti.com/lit/ds/symlink/lmp7721.pdf
U1,LMP7715MF,TO_SOT_Packages_SMD:SOT-23-5,LMP7715MF/NOPB,LMP7715MF/NOPBCT-ND,http://www.ti.com/lit/ds/symlink/lmp7716.pdf
PMT1,H12056-PMT,WheelerLab:H12056-PMT-1mm_Holes,H12056-110,-,https://www.hamamatsu.com/resources/pdf/etd/H12056_TPMO1053E.pdf
L1,Ferrite_Bead,Capacitors_SMD:C_0805,,,
J2,CONN_COAXIAL,WheelerLab:JACK_SMA,5-1814400-1,A97593-ND,
J1,CONN_02X05,Connect:he10-10d,XG4A1031,OR880-ND,
J1(small),CONN_01X10,WheelerLab:CONN-FPC-B-RA-10POS-1mm,68611014422,732-1996-6-ND,https://media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/ZIF%20Conn_Flat%20Flexible%20Cable.pdf
C10,47uF,Capacitors_SMD:C_0805,CL21A476MQCLRNC,1276-2420-1-ND,
R6,30k,Resistors_SMD:R_0805,ERA-6ARW303V,P30KBSCT-ND,
C4,200pF,Capacitors_SMD:C_0805,08055A201FAT2A,478-10508-1-ND,
C7,2.2uF,Capacitors_SMD:C_0805,CL21A225KB9LNNC,1276-2409-1-ND,
R8,10k,Resistors_SMD:R_0805,ERA-6ARW103V,P10KBSCT-ND,
C12,100pF,Capacitors_SMD:C_0805,08051A101FAT2A,478-3732-1-ND,
C2,100pF,Capacitors_SMD:C_0805,08051A101FAT2A,478-3732-1-ND,
C1,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C11,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C13,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C14,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C3,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C5,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C6,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C8,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
C9,0.1uF,Capacitors_SMD:C_0805,08055C104J4Z2A,478-5721-1-ND,
R5,301,Resistors_SMD:R_0805,RC0805FR-07301RL,311-301CRCT-ND,
R7,100,Resistors_SMD:R_0805,RC0805FR-07100RL,311-100CRCT-ND,
R1,50,Resistors_SMD:R_0805,RC0805FR-0749R9L,311-49.9CRCT-ND,
R10,50,Resistors_SMD:R_0805,RC0805FR-0749R9L,311-49.9CRCT-ND,
R2,50,Resistors_SMD:R_0805,RC0805FR-0749R9L,311-49.9CRCT-ND,
R3,50,Resistors_SMD:R_0805,RC0805FR-0749R9L,311-49.9CRCT-ND,
R4,50,Resistors_SMD:R_0805,RC0805FR-0749R9L,311-49.9CRCT-ND,
R9,49.9,Resistors_SMD:R_0805,RC0805FR-0749R9L,311-49.9CRCT-ND,
